,3G,3G Speed,Additional Content,Audio Formats,Audio Jack,Battery Capacity,Battery Type,Bluetooth Support,Bluetooth Version,Browse Type,Browser,Business Phone,Call Divert,Call Log Memory,Call Records,Call Timer,Call Wait/Hold,Color,Conference Call,Cost,Covered in Warranty,DLNA Support,Depth,Digital Zoom,Display Colors,Display Size,Display Type,Domestic Warranty,Dual Battery,Dual Camera Lens,EDGE,EDGE Features,Expandable Storage,FM Radio,FM Radio Recording,Flash,Frame Rate,Full HD Recording,GPRS,GPRS Features,GPS Support,GPU,Games,Graphics PPI,HD Game Support,HD Recording,Hands Free,Height,Hot SWAP Support,Hybrid Sim Slot,Image Editor,Imgsrc,Important Apps,In The Box,Infrared,Instant Message,Internal Storage,International Warranty,Internet Connectivity,JAVA Support,Java Application,Keypad,Keypad Type,Logs,MMS,Map Support,Memory Card Slot Type,Micro USB Port,Micro USB Version,Mini HDMI Port,Mini USB Port,Mini USB Version,Mobile Tracker,Model Name,Model Number,Music Player,NFC,Name,Network Type,Not Covered in Warranty,OTG Compatible,Operating Frequency,Operating System,Optical Zoom,Other Display Features,Other Features,Phone Book,Phone Book Memory,Pre-installed Browser,Predictive Text Input,Primary Camera,Primary Camera Available,Primary Camera Features,Primary Clock Speed,Processor Core,Processor Type,Quick Charging,RAM,Removable Battery,Resolution,Resolution Type,Ringtones Format,SIM Access,SIM Size,SIM Type,SMS,SMS Memory,Secondary Camera,Secondary Camera Available,Secondary Camera Features,Secondary Clock Speed,Sensors,Series,Smartphone,Social Networking Phone,Sound Enhancements,Speaker Phone,Speed Dialing,Supported Languages,Supported Memory Card Type,Supported Networks,TV Out,Talk Time,Total Memory,Touchscreen,Touchscreen Type,USB Connectivity,USB Tethering,Upgradable Operating System,User Interface,User Memory,Video Call Support,Video Formats,Video Recording,Video Recording Resolution,Voice Input,WAP,WAP Version,Warranty Service Type,Warranty Summary,Weight,Wi-Fi,Wi-Fi Hotspot,Wi-Fi Version,Width,flipkart_link,reviewlink
707,,,,Mp3,3.5 mm,1000,Li-Ion,Yes,,Feature Phones,Yes,,Yes,,Yes,,Yes,Sky Blue,Yes,619,Manufacturing Defects,,,,,1.8,,1 Year,,,,,16 GB,Yes,,Yes,,,Yes,,,,Yes,,,,Yes,,,No,,https://rukminim1.flixcart.com/image/704/704/jduk2vk0/mobile/s/a/z/blackzone-3310-3310-original-imaf2mw9fjzsqzyh.jpeg?q=70,,"Handset, Battery, Charger",,,10 MB,,2G,,,Yes,Alphanumeric,Yes,Yes,,Dedicated Slot,Yes,,,,,,3310+,3310+,Yes,,BlackZone 3310+  (Sky Blue),2G,,No,,,Yes,,,Yes,Yes,Yes,,0.3MP,Yes,0.3 MP,1 MHz,,,,10 MB,Yes,320 x 240$$Pixels,,,,,Dual Sim,Yes,Yes,,,,,,,,,,Yes,,22 Regional Languages,,"GSM, GSM",,100 Hours,,No,,Yes,,,,,,,Yes,,,,,,12 Months Warranty,,,,,,https://www.flipkart.com/blackzone-3310/p/itmf2nzgppvce8je?pid=MOBF2MWX7PHYMSAZ&srno=s_36_8&otracker=search&lid=LSTMOBF2MWX7PHYMSAZZDZSIP&fm=organic&iid=265c5b51-7190-44de-8bbb-77810712c506.MOBF2MWX7PHYMSAZ.SEARCH&qH=911c35cead2534b4,
708,,,,Mp3,3.5 mm,1000,Li-Ion,Yes,,Feature Phones,Yes,,Yes,Yes,Yes,,Yes,Yellow,Yes,619,Manufacturing Defects,,,,,1.8,,1 Year,,,,,16 GB,Yes,,Yes,,,Yes,,,,Yes,,,,Yes,,,No,,https://rukminim1.flixcart.com/image/704/704/jduk2vk0/mobile/z/q/f/blackzone-3310-3310-original-imaf2mx5hxgy7gvz.jpeg?q=70,,"Handset, Battery, Charger",,,10 MB,,2G,,,Yes,Alphanumeric,Yes,Yes,,Dedicated Slot,Yes,,,,,,3310+,3310+,Yes,,BlackZone 3310+  (Yellow),2G,,No,,,Yes,,,Yes,Yes,Yes,,0.3MP,Yes,0.3 MP,1 MHz,,,,10 MB,Yes,320 x 240$$Pixels,,,,,Dual Sim,Yes,Yes,,,,,,,,,,Yes,,22 Regional Languages,microSD,"GSM, GSM",,100 Hours,,No,,Yes,,,,,,,Yes,,,,,,12 Months Warranty,,,,,,https://www.flipkart.com/blackzone-3310/p/itmf2nzgppvce8je?pid=MOBF2MXEZEF4FZQF&srno=s_36_9&otracker=search&lid=LSTMOBF2MXEZEF4FZQFRQS9PZ&fm=organic&iid=792993b4-8b8f-440a-85b5-5a1bb34ee2d5.MOBF2MXEZEF4FZQF.SEARCH&qH=911c35cead2534b4,
709,No,,,MP3,3.5 mm,950 mAh,Li-Ion,Yes,,Feature Phones,,,Yes,,,,Yes,Black $$ Grey & Black $$ Red,Yes,"1,119",,,,,,1.8 inch,,1 Year,,,,,8 GB,Yes,,,,,Yes,,,,,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/jcuu2kw0/mobile/t/n/9/gfive-u229-combo-of-two-mobile-u229-original-imaffvzfjupt9xda.jpeg?q=70,,"Handset, Battery, Charger",,,64 MB,,,,,Yes,Alphanumeric,,,,Dedicated Slot,,,,,,,U229 Combo of Two Mobile,U229,,,Gfive U229 Combo of Two Mobile  (Black $$ Grey & Black $$ Red),2G,,No,"850, 900, 1800, 1900 MHz",0,,,,Yes,,,,0.3MP,Yes,,,,,,32 MB,Yes,128 x 160$$Pixels,Quarter QVGA,,,,Dual Sim,Yes,,,No,,,,,No,,,,,,,"GSM, GSM",,,,No,,,,,,,,MP4,,,,,,"1 Year Manufacturer warranty for which the customer can contact G'Five Customer care at +9111-33549027, +919582750855 or mail us @ customercare.konnect@gmail.com",1 Year Manufacturer Warranty,,,,,,https://www.flipkart.com/gfive-u229-combo-two-mobile/p/itmffvzfhsx8awbv?pid=MOBFFRW9GAFDYTN9&srno=s_36_10&otracker=search&lid=LSTMOBFFRW9GAFDYTN9MBBHEF&fm=organic&iid=38d2d878-a81a-4e09-bddb-dc819d080907.MOBFFRW9GAFDYTN9.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/gfive-u229-combo-two-mobile/product-reviews/itmffvzfhsx8awbv?pid=MOBFFRW9GAFDYTN9
710,,,,,3.5 mm,3000 mAh,,,,Feature Phones,,,Yes,,,Yes,Yes,Black+Grey,Yes,"1,160",Manufacturer Warranty,,,,,2.4 inch,,1 Year,No,,,,,,,,,,,,,,,,,,Yes,,,No,,https://rukminim1.flixcart.com/image/704/704/j79czgw0/mobile/e/v/e/infocus-hero-power-b1-hero-power-b1-original-imaewnbxvdbepbjc.jpeg?q=70,,"Handset, Battery, Charger, Earphone, User MAnual",,,32 MB,,,,,Yes,Alphanumeric,,,,Dedicated Slot,,,,,,,Hero Power B1,Hero Power B1,,,InFocus Hero Power B1  (Black+Grey),2G,Damage,No,,,,,,Yes,,,,0.3MP,Yes,LES Flash,1 MHz,,,,32 MB,Yes,240 x 320$$Pixels,,,Dual Standby,,Dual Sim,Yes,,,No,,,,,No,,,Yes,Yes,,,"GSM, GSM",,,,No,,,,,,,No,,,,,,,Repair,1 Year,,,,,,https://www.flipkart.com/infocus-hero-power-b1/p/itmexgzvu3p96f56?pid=MOBEXYZHNXF5ZEVE&srno=s_36_11&otracker=search&lid=LSTMOBEXYZHNXF5ZEVEUKE6GX&fm=organic&iid=32432fab-85cc-478b-9515-caf81e05f843.MOBEXYZHNXF5ZEVE.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/infocus-hero-power-b1/product-reviews/itmexgzvu3p96f56?pid=MOBEXYZHNXF5ZEVE
711,,,,MP3,3.5 mm,1200 mAh,Li-Ion,Yes,,Feature Phones,,,Yes,,Yes,,Yes,Silver,Yes,"1,189",Warranty of the products is limited to manufacturing defects,,,,,2.4 inch,,,,,,,16 GB,Yes,Yes,Yes,,,,,,,,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/jd0jtzk0/mobile/6/d/8/gfive-z18-z18-original-imaf2yvnaqzspvfz.jpeg?q=70,,"Handset, Battery, Charger, User Manual",,,64 MB,,,,,Yes,Alphanumeric,,,,Dedicated Slot,,,,,,Yes,Z18,Z18,,,Gfive Z18  (Silver),2G,Warranty not applicable on accessories,No,,,,,,Yes,,,No,0.3MP,Yes,,,,,,32 MB,Yes,240 x 320$$Pixels,,,,Normal SIM,Dual Sim,Yes,,,,,,,,No,,,,,"Hindi, English, Tamil, Gujrati",,"GSM, GSM",,,,No,,,,,,,,MP4,,,,Yes,,"1 Year Manufacturer Warranty for which the customer can contact our customer care at: +9111-33549027, +919582750855 or mail us @ customercare.konnect@gmail.com",1 YEAR MANUFACTURER WARRANTY & 6 Months on Accessories,,,,,,https://www.flipkart.com/gfive-z18/p/itmfydypzjsguutw?pid=MOBFY5UZMVKSZ6D8&srno=s_36_12&otracker=search&lid=LSTMOBFY5UZMVKSZ6D82JMS8X&fm=organic&iid=2bf62b9d-70d7-4043-8465-2b7aa10cd977.MOBFY5UZMVKSZ6D8.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/gfive-z18/product-reviews/itmfydypzjsguutw?pid=MOBFY5UZMVKSZ6D8
712,,,,MP3,3.5 mm,1200 mAh,Lithium ion,Yes,,Feature Phones,,,Yes,,Yes,,Yes,Pink,Yes,"1,189",Warranty of the products is limited to manufacturing defects,,,,,2.4 inch,,,,,,,16 GB,Yes,Yes,,,,,,,,,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/jd0jtzk0/mobile/e/x/t/gfive-z18-z18-original-imaf2yvzdtaaef9z.jpeg?q=70,,"Handset, Battery, Charger, User Manual",,,64 MB,,,,,Yes,Alphanumeric,,,,Dedicated Slot,,,,,,Yes,Z18,Z18,,,Gfive Z18  (Pink),2G,Warranty not applicable on accessories,No,,No,,,,,,,Yes,0.3MP,Yes,,,,,,32 MB,,240 x 320$$Pixels,QVGA,,,Normal SIM,Dual Sim,Yes,,,,,,,,No,,,Yes,,"Hindi, English, Tamil, Gujrati",,"GSM, GSM",,,,No,,,,,,,,MP4,,,No,,,"1 Year Manufacturer Warranty for which the customer can contact our customer care at: +9111-33549027, +919582750855 or mail us @ customercare.konnect@gmail.com",1 YEAR MANUFACTURER WARRANTY,,,,,,https://www.flipkart.com/gfive-z18/p/itmfydypzjsguutw?pid=MOBFYDRSPTTRDEXT&srno=s_36_13&otracker=search&lid=LSTMOBFYDRSPTTRDEXTQHJUDB&fm=organic&iid=c8dc3b8c-6599-4a62-9856-554f28b067e3.MOBFYDRSPTTRDEXT.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/gfive-z18/product-reviews/itmfydypzjsguutw?pid=MOBFYDRSPTTRDEXT
713,No,,,MP3,3.5 mm,1200 mAh,Lithium-ion,Yes,,Feature Phones,,,Yes,,,,Yes,"Black, Black Red",,"1,119",,,,,,1.8 inch,,1 Year,No,,,,32 GB,Yes,,,,,Yes,,,,,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/jcgjo280/mobile/r/b/h/1-1-2-d2-dual-sim-combo-of-two-mobile-d2-original-imaffhyd4ce87yys.jpeg?q=70,,"2 Mobiles, 2 Batteries, 2 Charger",,,64 MB,,,,,Yes,Alphanumeric,,,,Dedicated Slot,,,,,,,D2 Dual Sim Combo of Two Mobile,D2,,,"1+1=2 D2 Dual Sim Combo of Two Mobile  (Black, Black Red)",2G,,No,"GSM - 900, 1800",0,,,,Yes,,,,0.3MP,Yes,,,,,,32 MB,Yes,128 x 160$$Pixels,Quarter QVGA,,,,Dual Sim,Yes,,,No,,,,,No,,,,,"Hindi, Engligh, Tamil, Gujarati",,"GSM, GSM",,,,No,,,,,,,,MP4,,,,,," 1 Year Manufacturer warranty for which the customer can contact G'Five Customer care at +9111-33549027, +919582750855 or mail us @ customercare.konnect@gmail.com",1 Year Manufacturer Warranty,,,,,,https://www.flipkart.com/1-1-2-d2-dual-sim-combo-two-mobile/p/itmffhydpfures6h?pid=MOBFFJU9THGMDRBH&srno=s_36_14&otracker=search&lid=LSTMOBFFJU9THGMDRBHHG4UP1&fm=organic&iid=ba95369c-8f72-41f2-968d-2b1f7556341b.MOBFFJU9THGMDRBH.SEARCH&qH=911c35cead2534b4,
714,,,,MP3,3.5 mm,1800 mAh,Li-Ion,Yes,,Feature Phones,,,,,,,Yes,Black and Silver/Silver,,799,,,,,,2.4 inch,,1 Year,,,,,8 GB,Yes,,,,,,,,,,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/j7rxpjk0/mobile/r/t/h/i-kall-k3311-combo-with-two-mobile-k3311-original-imaex9fwrjjyzys8.jpeg?q=70,,"Handset, Battery, Charger, User Manual",,,64 MB,,,,,Yes,Alphanumeric,,,,Dedicated Slot,,,,,,,K3311,K3311,,,I Kall K3311  (Black and Silver/Silver),2G,,No,,,,,,Yes,,,,0.3MP,Yes,,,,,,32 MB,Yes,320 x 240 Pixels,QVGA,,,,Dual Sim,Yes,,,No,,,,,No,,,,,,,"GSM, GSM",,,,No,,,,,,,,MP4,,,,,,,1 Year Manufacturing Warranty,,,,,,https://www.flipkart.com/i-kall-k3311/p/itmexefwbgtz3p43?pid=MOBEX9GDYBMTTEZD&srno=s_36_15&otracker=search&lid=LSTMOBEX9GDYBMTTEZDP0NI78&fm=organic&iid=67b8e8ee-b009-4dd8-a1c7-6731f0fd0eec.MOBEX9GDYBMTTEZD.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/i-kall-k3311/product-reviews/itmexefwbgtz3p43?pid=MOBEX9GDYBMTTEZD
715,No,,,MP3,3.5 mm,1800 mAh,Li-Ion,Yes,,Feature Phones,,No,Yes,Yes,,,,Black,,985,,,,,,2.4 inch,QVGA,,No,,,,16 GB,Yes,,,,,,,,,,,,,Yes,,,No,,https://rukminim1.flixcart.com/image/704/704/jcz4e4w0/mobile/m/m/s/lemon-lemo-206-lemo-206-original-imaffzp4wappwpsf.jpeg?q=70,,"Handset, Battery, Charger, Earphone",No,No,20 MB,,,,,Yes,Alphanumeric,,No,,Dedicated Slot,Yes,,,,,Yes,Lemo 206,Lemo 206,,,Lemon Lemo 206  (Black),2G,,No,,,,,,Yes,,,Yes,0.3MP,Yes,,1 MHz,,,,1 MB,Yes,240 x 320$$Pixels,QVGA,,,Regular SIM,Dual Sim,Yes,,,No,N/A,,,,No,No,,Yes,,"English, Hindi",,"GSM, GSM",No,3 Hours,,No,,,,,,10,No,,,,No,,,,"1 Year Warranty for Mobile and 6 Month for Charger, Battery and Earphone",,,,,,https://www.flipkart.com/lemon-lemo-206/p/itmffzp4eatgm7ed?pid=MOBFFSX8QMF79MMS&srno=s_36_16&otracker=search&lid=LSTMOBFFSX8QMF79MMSS84QIS&fm=organic&iid=62e8d2be-ce59-4783-bedd-25b0ee654fe1.MOBFFSX8QMF79MMS.SEARCH&qH=911c35cead2534b4,
716,No,,No,Mp3,3.5,1750 mAh,Li-Ion,Yes,2,Feature Phones,,No,Yes,Yes,No,Yes,Yes,Black,Yes,809,Warranty Of the Product is Limited to Manufacturing Defects Only,No,16 mm,,65k,4.4 inch,tft,1 Year,No,,No,,8 GB,Yes,No,No,,No,No,,No,,,,No,No,Yes,48 mm,No,,No,https://rukminim1.flixcart.com/image/704/704/mobile/v/4/b/micromax-bar-x072-original-imae8umgyhczphjk.jpeg?q=70,,Handset Battery Charger Handfree Usb Cable Usermanual,No,No,56 MB,,,No,No,Yes,Alphanumeric,Yes,No,No,,No,,No,Yes,2,No,X072,X072,"Yes, MP3 Music Player",No,Micromax X072  (Black),,"Warranty does not cover any external accessories (such as battery, cable, carrying bag), damage caused to the product due to improper installation by customer, normal wear and tear to magnetic heads, audio, video, laser pick-ups and TV picture tubes, panel, damages caused to the product by accident, lightening, ingress of water, fire, dropping or excessive shock, any damage caused due to tampering of the product by an unauthorized agent, liability for loss of data, recorded images or business opportunity loss.",,900/1800,Linux Series 30 0,No,,,Yes,"yes, 500",,Yes,0MP,Yes,,,Single Core,,,56 MB,Yes,128 x 160 Pixels,NA,Mp3,Dual Standby,Regular,Dual Sim,Yes,"Yes, 100",,No,,,,x,No,No,,Yes,Yes,English,MicroSD,"GSM, GSM",No,10 hr,8 GB,No,,Yes,Yes,,,56,No,,No,,Yes,No,,Customer Need to Go Nereby Service Center,1 Year Manufacturer Warranty,90 g,No,No,,111.5 mm,https://www.flipkart.com/micromax-x072/p/itme8wjstzhgpf9r?pid=MOBE8WJSZSXYJV4B&srno=s_36_17&otracker=search&lid=LSTMOBE8WJSZSXYJV4BPUIFSY&fm=organic&iid=311324be-acc8-423a-87e4-36371073577a.MOBE8WJSZSXYJV4B.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/micromax-x072/product-reviews/itme8wjstzhgpf9r?pid=MOBE8WJSZSXYJV4B
717,,,,,,600 mAh,Polymer,,,Feature Phones,,,,,,,,Gold,,999,Warranty of the product is limited to manufacturing defects only,,,,,1.77 inch,,,,,,,,,,,,,,,,,,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/j2aqxzk0/mobile/u/w/b/greenberry-m1-m1-original-imaetmnzqsvjrskz.jpeg?q=70,,"Handset, Data Cable",,,256 MB,,,,,Yes,Alphanumeric,,,,Dedicated Slot,,,,,,,M1,M1,,,GreenBerry M1  (Gold),2G,Warranty Does Not Cover Any Damage Caused To The Product Due To Improper Installation By Customer,No,,,,,,,,,,2MP,,,,,,,256 MB,,320 x 480 Pixels,,,,Micro SIM,Single Sim,Yes,,,,,,,,No,,,,,,,GSM,,,,No,,,,,,,,,,,,,,1 Year Manufacturer Warranty for Phone,1 Year Manufacturer Warranty for Phone,,,,,,https://www.flipkart.com/greenberry-m1/p/itmeuyctgt8nt8ny?pid=MOBETZQ2FWVARUWB&srno=s_36_18&otracker=search&lid=LSTMOBETZQ2FWVARUWB5WP89G&fm=organic&iid=a05ee9ca-32a3-4ed2-a913-74efe976b246.MOBETZQ2FWVARUWB.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/greenberry-m1/product-reviews/itmeuyctgt8nt8ny?pid=MOBETZQ2FWVARUWB
718,,,,,3.5 mm,1200 mAh,Li-Ion,Yes,,Feature Phones,,,,,,,,White & Gold,,"1,489",Warranty details is mentioned in the warranty card present inside the gift box,,,,,2.8 inch,,,,,,,32 GB,Yes,Yes,Back Flash,,,,,,,,,,,Yes,,,No,,https://rukminim1.flixcart.com/image/704/704/jar3qfk0/mobile/a/j/w/lava-spark-i8-spark-i8-original-imafy5xneykwg3nr.jpeg?q=70,,"Handset, Charger, Warranty Card, Headset",,,32 MB,,"WAP, GPRS",,,Yes,Alphanumeric,,,,Dedicated Slot,,,,,,Yes,Spark i8,Spark i8,,,Lava Spark i8  (White & Gold),2G,Physical/Water Damage,No,,,,,"Smart Notifications (With LED Flash Blinking Active on Incoming Call), Auto Call Recording (Folder Never Forget Information Shared on Voice Call), Audio and Video Playback, Screenshot (With Long Press of Dial / Call Key), Alarm, Wireless FM with Recording",Yes,"Yes, 1000",,,1.3MP,Yes,,,,,,32 MB,Yes,320 x 240 Pixels,QVGA,,,Full Size Sim,Dual Sim,Yes,"Yes, 300",,No,,,,,No,,,Yes,,22 Language Support,,"GSM, GSM",,,,No,,,,,,,,,,,,,,Customer has to visit Lava Authorize service centre in case of any issue.,2 Year on Handset and 6 Months on Accessories,101 g,,,,57 mm,https://www.flipkart.com/lava-spark-i8/p/itmfy97znkgqfecp?pid=MOBFY97ZGH4JGAJW&srno=s_36_19&otracker=search&lid=LSTMOBFY97ZGH4JGAJWQOAW4K&fm=organic&iid=829669a7-41d6-44ec-aae0-da421fb0fb84.MOBFY97ZGH4JGAJW.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/lava-spark-i8/product-reviews/itmfy97znkgqfecp?pid=MOBFY97ZGH4JGAJW
719,,,SD Card Support Upto 32GB,,,3000 mAh,,,,Feature Phones,,,,,,,,Black,,"1,489",,,,,,2.8 inch,,,,,,,,,,,,,,,,,,,,,,,,,,https://rukminim1.flixcart.com/image/704/704/mobile/e/s/z/intex-ultra-g3-ultra-g3-original-imaejj8syhpm3dn2.jpeg?q=70,,"Handset, Charger, Manual, Battery",,,30 KB,,,,,,,,,,,,,,,,,Ultra G3,Ultra G3,,,Intex Ultra G3  (Black),2G,,,,,,,,,,,,0.3MP,,,,,,,,,240 X 320,QVGA,,,,Dual Sim,,,,,,,,,,,,,,,,"GSM, GSM",,,,,,,,,,,,,,,,,,,1 Year Manufacturer Warranty,,,,,,https://www.flipkart.com/intex-ultra-g3/p/itmejpwjkhphy9uk?pid=MOBEJPWJAUHJFESZ&srno=s_36_21&otracker=search&lid=LSTMOBEJPWJAUHJFESZKERG4N&fm=organic&iid=d9f3aa9a-2076-4656-963c-0c5f1912409d.MOBEJPWJAUHJFESZ.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/intex-ultra-g3/product-reviews/itmejpwjkhphy9uk?pid=MOBEJPWJAUHJFESZ
720,,,,,,600 mAh,,,,Feature Phones,,,,,,,,"Black,Jet Black",,999,,,,,,1.77 inch,,,,,,,,,,,,,,,,,,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/j2aqxzk0/mobile/t/q/w/greenberry-m1-m1-original-imaetmhsseeghefh.jpeg?q=70,,"Handset, USB Cable",,,256 MB,,,,,Yes,Alphanumeric,,,,Dedicated Slot,,,,,,,M1,M1,,,"GreenBerry M1  (Black,Jet Black)",2G,,No,,,,,,,,,,2MP,,,,,,,256 MB,,320 x 480 Pixels,,,,Micro SIM,Single Sim,,,,,,,,,,,,,,,,GSM,,,,No,,,,,,,,,,,,,,,1 Year Manufacturer Warranty for Phone,,,,,,https://www.flipkart.com/greenberry-m1/p/itmeuyctgt8nt8ny?pid=MOBETZPRP6PVPTQW&srno=s_36_22&otracker=search&lid=LSTMOBETZPRP6PVPTQW84DFVD&fm=organic&iid=b55813ed-25bb-4871-adb5-b6e7e16a1687.MOBETZPRP6PVPTQW.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/greenberry-m1/product-reviews/itmeuyctgt8nt8ny?pid=MOBETZPRP6PVPTQW
721,,,,,3.5 mm,1200 mAh,Li-Ion,Yes,,Feature Phones,,,,,,,,Black & Blue,,"1,489",Warranty details is mentioned in the warranty card present inside the gift box,,,,,2.8 inch,,,,,,,32 GB,Yes,Yes,Back Flash,,,,,,,,,,,Yes,,,No,,https://rukminim1.flixcart.com/image/704/704/jar3qfk0/mobile/h/w/w/lava-spark-i8-spark-i8-original-imafy5xnvsdybkgz.jpeg?q=70,,"Handset, Charger, Warranty Card, Headset",,,32 MB,,"WAP, GPRS",,,Yes,Alphanumeric,,,,Dedicated Slot,,,,,,Yes,Spark i8,Spark i8,,,Lava Spark i8  (Black & Blue),2G,Physical/Water Damage,No,,,,,"Smart Notifications (With LED Flash Blinking Active on Incoming Call), Auto Call Recording (Folder Never Forget Information Shared on Voice Call), Audio and Video Playback, Screenshot (With Long Press of Dial / Call Key), Alarm, Wireless FM with Recording",Yes,"Yes, 1000",,,1.3MP,Yes,,,,,,32 MB,Yes,320 x 240 Pixels,QVGA,,,Full Size Sim,Dual Sim,Yes,"Yes, 300",,No,,,,,No,,,Yes,,22 Language Support,,"GSM, GSM",,,,No,,,,,,,,,,,,,,Customer has to visit Lava Authorize service centre in case of any issue.,2 Year on Handset and 6 Months on Accessories,101 g,,,,57 mm,https://www.flipkart.com/lava-spark-i8/p/itmfy97znkgqfecp?pid=MOBFY97ZMUUX2HWW&srno=s_36_24&otracker=search&lid=LSTMOBFY97ZMUUX2HWWACWFX3&fm=organic&iid=e89841e3-a6c8-411b-a89e-78fc3252160b.MOBFY97ZMUUX2HWW.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/lava-spark-i8/product-reviews/itmfy97znkgqfecp?pid=MOBFY97ZMUUX2HWW
722,,,No,,,850 mAh,,,,Feature Phones,,,,,,,,Dark Blue,,692,Manufacturing Defects,,,,,1.77 inch,,3 Months,,,,,,,,,,,,,,,,,,,,,,No,,https://rukminim1.flixcart.com/image/704/704/j7usl8w0/mobile/x/p/h/mezire-m3310-m3310-original-imaexuy62wdazuas.jpeg?q=70,,"Headset, Battery, Charger, User Manual",,,64 MB,,,,,Yes,Alphanumeric,,,,Dedicated Slot,,,,,,,M-3310,M3310,,,Mezire M-3310  (Dark Blue),2G,"Physical Accidental Damage, Any Damage Caused by Water",No,,0,,,,,,,,0.3MP,,,1.2 MHz,,,,32 MB,Yes,176 x 220$$Pixels,,,,,Dual Sim,Yes,,,,,,,,No,,,,,,,"GSM, GSM",,,,No,,,,,,,,,,,,,,Customer can can call at: 9873019165,3 Months Warranty Against Manufacturing Defects,,,,,,https://www.flipkart.com/mezire-m-3310/p/itmexyxtgebwgfhq?pid=MOBEXUY7SUKTDXPH&srno=s_57_2&otracker=search&lid=LSTMOBEXUY7SUKTDXPHL17JXF&fm=organic&iid=2f334c7b-dcea-464d-a506-1e9440b1d4fe.MOBEXUY7SUKTDXPH.SEARCH&qH=911c35cead2534b4,https://www.flipkart.com/mezire-m-3310/product-reviews/itmexyxtgebwgfhq?pid=MOBEXUY7SUKTDXPH
723,,,"Handset, Battery, Charger","MP3, MP4",3.5 mm,1000 mAh,Li-Ion,Yes,,Feature Phones,Yes,,Yes,Yes,Yes,,Yes,Red & White,,629,Manufacturing Defects,,,,,1.8 inch,,1 Year,No,,,,16 GB,Yes,No,,,,Yes,,,,Yes,,,,Yes,,,No,,https://rukminim1.flixcart.com/image/704/704/jcrz6vk0/mobile/g/h/t/blackzone-n1102-n1102-original-imaffzavk4gwnbzs.jpeg?q=70,,"Handset, Battery, Charger",,,10 MB,,2G,,,Yes,Alphanumeric,Yes,,,Dedicated Slot,Yes,,,,,,N1102,N1102,Yes,,Blackzone N1102  (Red & White),2G,"Physical Accidental Damage, Any Damage Caused due to Water",No,,,Yes,,,Yes,,Yes,,0.3MP,Yes,0.3 MP,1 MHz,,,,10 MB,Yes,320 x 240$$Pixels,,,,Normal SIM,Dual Sim,Yes,Yes,,,,,,,,,,Yes,,Multi Language,microSD,"GSM, GSM",,,,No,,Yes,,,,,,,Yes,,,,,,12 Months Warranty,,,,,,https://www.flipkart.com/blackzone-n1102/p/itmfftttxejmgvkt?pid=MOBFFZB5SZMZYGHT&srno=s_57_3&otracker=search&lid=LSTMOBFFZB5SZMZYGHT2BZLF4&fm=organic&iid=75090e3a-9bc3-4c61-97f4-0c8b2d826282.MOBFFZB5SZMZYGHT.SEARCH&qH=911c35cead2534b4,
